Active Tasks,33,,Progress,
Completed Tasks,75,,,
Completion %,69.44%,,,
Tasks (new entries go at the bottom),Owner,Priority,Due Date,Status
Retrieve missing member emails,Ben,High,,Upcoming
Updated emergency contact information.,Ben,High,1/1/2026,In Progress
Activate checkout feature for service classes within Vagaro.,Ben,Low,,In Progress
new headshots for the whole team,Everyone,Medium,,Upcoming
order new sweatshirts for the team ,Joel,Low,,Not Started
order new VT signs from vistaprint,Joel,Medium,,Not Started
"add pertinent notes to fascial map, remove rotational scores",Joel,Medium,,Not Started
Update Google Presence for Vetted Trainers ,Joel,Medium,1/1/2026,Done
get 1099s ready,Joel,High,,Not Started
Have emails from PAR Q go to visits,Youssef,High,,Done
Upgrade dumbbell rack and dumbbells ,Joel,Medium,N/A,Done
cancel styku membership,Joel,High,,Done
Fix YouTube Data Population,Youssef,High,12/25/2025,Done
Add ques on mobility library ,Joey,High,1/1/2026,Done
Populate mobility library,Ben,High,1/1/2026,Done
transfer par q to google forms,Youssef,Low,,Done
fart fan fan for the upstairs bathroom,Shane,High,,Done
Update google building photos ,Joel,Medium,1/1/2026,In Progress
Have Tony set mobility email trigger from his account,Youssef,,,Done
Finalize budget for the first quarter of 2026.,Youssef,,,Done
Troublshoot referral tracking in the members sheet for trainer metrics purposes. Problem - only CM's tracked in the member sheet,Youssef,,,Done
Track all referrals in member sheet - no more bonus,Youssef,,,Done
"Add the Strength Assessment Score, which is out of 15, to the Members Sheet.",Youssef,,,Done
Set up auto-generated mobility email with given exercises - from Tony's email,Youssef,,,Done
Run controlled and robust simulations for all scripts.,Youssef,,,Done
Rework all scripts to scan for Referrals not referral bonus,Youssef,,,Done
Look into connecting YouTube studio analytics with VT data,Youssef,,,Done
Incoorperate member transfer in Trainer Metrics,Youssef,,,Done
Have members check in with reference to 2025 and 2026.,Youssef,,,Done
"Finalize the monthly revenue targets for 2026, broken down by service.",Youssef,,,Done
Discuss implementing and leveraging Google Workspace Studio.,Youssef,,,Done
Create google doc template for mobility emails,Youssef,,,Done
Confirm AGR Goal + Cash Requirement for Building 2,Youssef,,,Done
Build out fully automated paycheck calculator workflow - transfer enrollment fee as well,Youssef,,,Done
Add emails into sheets for automation,Youssef,,,Done
"Add ""admin hour"" into KPIs. Add into paycheck calc at a rate of $35 per hour.",Youssef,,,Done
add a second list in visits sheet where it shows all missing prices and emails,Youssef,,,Done
Get KPI's from youtube studio analytics directly into out VT data,Youssef,,,Done
Add cues/notes to mobility template,Youssef,,,Done
Tony reaches out to members for the win-back initiative.,Tony,,,Done
Determine the status of the door situation.,Shane ,,,Done
Place hooks on the stretch deck.,Shane,,,Done
Finalize The SOP and Value Framework.,"Joey, Youssef",,,Done
Write a SOP for DMJ.,"Joey, Tony",,,Done
Write a SOP for the DOT,Joey,,,Done
"Create document including guidelines, policies, and expectations for employees of Vetted Trainers.",Joey,,,Done
Add cues to every program.,Joey,,,Done
Vetted Baptism Program,Joey,,,Done
Email joel par q,joey,,,Done
Make Google Review sheet for walls - start pushing reviews,Joel,,,Done
Google Workspace Studio Upgrade,Joel,,,Done
Give Jae and Youssef access to youtube studios,Joel,,,Done
Give admin access to youssef for the workspace,Joel,,,Done
Get a shelf,Joel,,,Done
Get Youssef access to our new app portal,Joel,,,Done
Update team emails to use vetted trainers' email addresses.,Joel,,,Done
Finalize the list for the Win Back 2026 initiative.,Everyone ,,,Done
Schedule a conversation with Will and Luke.,Everyone,,,Done
"Go over mobility email flow with team, finalize --> implement",Everyone,,,Done
Send out a holiday promotion blast without offering a discount.,"Ben, Tony",,,Done
Organize the Release Flows and Programs Folder.,"Ben, Joey",,,Done
Modify receipts to display only the price paid.,Ben,,,Done
Remove receipt email from DOPA hours ,Ben,,,Done
"Change ""Dopa"" names to ""Dot"" on Vagaro ",Ben,,,Done
"Modify the receipt to include the phrase ""vetted trainers.""",Ben,,,Done
figure out the ceiling fan situation,Joel,Medium,,In Progress
Joel finds zips and hoody options with Jose,Joel,Medium,,In Progress
Magic erase the release room,Joel,,,
finish cues in the movement library,Joey,High,,Upcoming
Adjust script configurations for 2026 sheets 12/31 before midnight,Youssef,High,,Done
Trouble shoot google form par q,Everyone,Low,N/A,Done
record missing videos in movement library,Joey,High,,Not Started
Vetted Nutriition? website refrences it,"Joel, Youssef",High,,Done
BCC joey on mobility emails,Youssef,Low,,Done
make life alert program ,Joey,Low,,Not Started
Organize the movement video list and finalize.,Joey,High,1/1/2026,Done
Change name and logo on calendly,Joel,High,,Done
Fix highlighting in visits ,Youssef,High,,Done
"Complete ""Apex predator program"".",Joey,Low,,In Progress
Build raise tracker into trainer metrics - set up conditional alerts,Youssef,Low,,Done
get yearly recap template ready for trainers - send via email,Youssef,High,,Done
get 2026 sheets set up,Youssef,High,,Done
Create a SOP for bringing new trainers into the organization.,Joey,Medium,,In Progress
possibly automate emails for member check-ins?,"Youssef, Everyone",Low,,Done
Create performance improvement plan sop ,Joey,Medium,,In Progress
Add shelves on the stretch deck.,Shane,Medium,,Not Started
Install curtains on the two side windows.,Shane,Medium,,Not Started
Add referred by to par q form,Youssef,Medium,,Done
have trainer metrrics referall data pull from par q,Youssef,Medium,,Done
remove referalls from new members,Youssef,Medium,,Done
adjust script configurations for the updated systems,Youssef,Medium,,Done
consolidate all GAS files in a doc,Youssef,High,,Done
"Set up notification so when a par q is submitted, tony is notified",Youssef,Medium,,Done
The office and spackle room require painting and drywall work.,Shane,Low,,In Progress
Put on other curtain rod,Shane,,,
Address fart fan ,Shane,,,
add ben to par q notifications,Youssef,,,Done
make a dynamic connection between visits and parq form,Youssef,,,Done
put sploof tube on fart fan,Shane,Medium,,
fans installed on the deck exterior,Shane,,,
Find wall fans ,Shane,Medium,,
Stretch Deck wall needs to be painted ,"Shane, Joel",,,
Vagaro Emails,Tony,Low,,In Progress
Create document to compare trainer metrics with target/benchmark metrics for raise meetings ,Youssef,Low,,Upcoming
Create a connection between vagaro and sheet using webhook,Youssef,Medium,,
Bcc trainer on mobility emails,Youssef,Low,,
Add waiver to the par q ,Youssef,High,,
"Add live subscriber and watch hour timeline, target 1,000 subs and 40,000 watch hours",Youssef,,,